KAB_KOTA,2023,2024
Bogor,7.27,7.05
Sukabumi,7.01,6.87
Cianjur,10.22,10.14
Bandung,6.4,6.19
Garut,9.77,9.68
Tasikmalaya,10.28,10.23
Ciamis,7.42,7.39
Kuningan,12.12,11.88
Cirebon,11.2,11
Majalengka,11.21,10.82
Sumedang,9.36,9.1
Indramayu,12.13,11.93
Subang,9.52,9.49
Purwakarta,8.46,8.41
Karawang,7.87,7.86
Bekasi,4.93,4.8
Bandung Barat,10.52,10.49
Pangandaran,8.98,8.75
Kota Bogor,6.67,6.53
Kota Sukabumi,7.5,7.2
Kota Bandung,3.96,3.87
Kota Cirebon,9.16,9.02
Kota Bekasi,4.1,4.01
Kota Depok,2.38,2.34
Kota Cimahi,4.66,4.39
Kota Tasikmalaya,11.53,11.1
Kota Banjar,6.14,5.85
Provinsi Jawa Barat,7.62,7.46